Index;Document_No;Dominant_Topic;Topic_Perc_Contrib;Keywords;Question;Response
125;125;3.0;0.0636;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;a Paris - New York 8 hour flight without a personal screen in 2017 ?!?! Are you serious ??? #worstairlineever and no window :-(;We want you to stay entertained while on board. Take a look here for info on streaming to your device: https://t.co/n3xnGPgfe2
126;126;10.0;0.066;bag, check, free, carry, luggage, put, bring, cabin, force, fit;I at the airport CDG 2A. Crowded lines for check-in....I was there 2h30 before takeoff. https://t.co/DRsANNE8K8;Sorry for the wait. Were working hard to get everyone taken care of as quickly as possible.
127;127;0.0;0.0625;call, year, guy, nice, update, amp, ve, week, receive, status;Hey can this beauty be my emotional support pet? 😁✈️👌🏼 #AvGeek #ORD #Dreamliner #787 #K9 https://t.co/E9PhaE1EUT;She is a beauty! We wont tell if you dont!
128;128;0.0;0.0789;call, year, guy, nice, update, amp, ve, week, receive, status;is there a place in Dallas where I can get my #precheck status resolved. 7th flight in a row where no status ;Wed like to take a look at this John. Meet us in DM with your KTN, date of birth and name as it appears with TSA.
129;129;3.0;0.0977;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;As Executive Platinum I tweet to them often. They are an amazing team! Immediate responses, incredibly helpful-invaluable resource to their fliers. https://t.co/FWkpYwSNFt;We appreciate the kudos, Julie. Were always here for you #TweetUsIfYouNeedUs!
130;130;13.0;0.0818;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;Hey there question: we are travelling from UK to Jamaica transit is Miami do we need esta visa? We hold British passport;Youre good to go as long as you have your British passport and return/onward ticket.
131;131;2.0;0.0737;seat, pay, move, extra, purchase, information, room, group, screw, hotel;Hi just want to say how disappointed we were and very upset we Did need the esta. Was really annoying tbh;Were sorry. Check with the consulate of the country you’re entering (or passing through) for your requirements. https://t.co/RtwK8VjCeh
132;132;8.0;0.0833;https, today, fly, home, guess, aa, awesome, treat, part, joke;Taking off from MIA Int’l #americanview https://t.co/Z3rdseFfpR;Were loving your #AAview and were so glad we get to share the skies with you!
133;133;5.0;0.0819;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Your caste system for economy travelers is Byzantine. We are in the lowest caste. Bad move.;We dont want you to feel that way. We treat all our customers well and love flying you to AAmazing places!
134;134;18.0;0.0757;issue, holiday, family, happen, fix, due, card, end, contact, first_class;Lol thanks for the reply but this doesn’t make any sense. It’s like saying I can’t use a Starbucks gift card on the cup, just the coffee.;It can only be used towards the price of the ticket. The premium seats purchase is an ancillary charge.
135;135;2.0;0.1102;seat, pay, move, extra, purchase, information, room, group, screw, hotel;Hows it possible I cant use my AA gift card b/c Im purchasing a “premium seat?” No free seats available. Do u not want my $500?;Gift cards cannot be used for purchasing seats, our apologies for any inconvenience.
136;136;6.0;0.0804;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;Aaaaaand... you baggage customer assistance office at VPS is closed. Now what?;The club is open from 8a-10p, our team will operate the office after arrivals.
137;137;17.0;0.0731;time, bad, service, experience, response, home, understand, month, guy, reason;Obviously will, but praying it doesn’t get worse / things fall out between DFW and VPS. Every. Single. Time.;We understand, Camilo. Be sure to verify that you have all your contents when you arrive.
138;138;7.0;0.0669;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;Once again, thx Few things as crappy as getting broken/open bags that you have to recheck because complaint is “at destination”;Our apologies for the damage to your bag. Please speak with our Baggage office at the airport to file a claim.
139;139;4.0;0.0984;delay, hour, miss, late, connection, suck, flight, policy, refund, water;took an hour and forty minutes which should have only been an hour to get to LAX. Missed my flight. #uberfail #thanks;We know this can be upsetting. See our airport team when you arrive for your options.
140;140;17.0;0.0965;time, bad, service, experience, response, home, understand, month, guy, reason;Had I known I needed to take a shuttle to an additional terminal in LAX I would have added more time. It was not noted at all. Sad!;Our airport team will help get you on your way and take excellent care of you!
141;141;8.0;0.0919;https, today, fly, home, guess, aa, awesome, treat, part, joke; Late afternoon at the DFW Admirals Club - Terminal D. What an spectacular view 😀 https://t.co/23ptGxUPhZ;Thats an amazing, #AAmericanview, were glad you could catch the gorgeous Texas sunset from the club!
142;142;5.0;0.1006;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Im on flight AA3822 and the cabin crew is simply the best. Will you give them my thanks? I dont have my kudos cards on me.;Well be more than happy to give them your thanks! #AATeam
143;143;3.0;0.0648;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;Super flight with 787 #Dreamliner from Chicago OHare to Monday night #redeye;Its a pretty sweet ride if we say so ourselves!
144;144;7.0;0.0757;flight, attendant, boarding, info, pass, feel, stop, member, website, employee;My father in law was part of the wing engineering design team - sadly passed last year;Oh, Mark. Were so sorry for your loss.
145;145;13.0;0.0948;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;My mom took a turn with her terminal https://t.co/Elca1d06Pg is canceling the ticket going to solve the problem?;Were so sorry to hear about your mother and were wishing her the best of wishes. Please follow and DM additional details.
146;146;5.0;0.0744;aa, give, pilot, plan, option, food, answer, schedule, offer, small;flight AA723 is scheduled to depart at 10:35 but they wont let anyone up to the gates. Any updates??;Were showing AA723 is on time as of now Marisa. Well have you on your way soon!
147;147;11.0;0.104;flight, great, staff, terrible, destination, entire, completely, locator, question, list;Just touched down in Heathrow. Great wee flight with Onto the second leg. Vegas with #woohoo ;Vegas here we come!
148;148;19.0;0.0664;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;So excited;We are too! Enjoy your flight.
149;149;5.0;0.0692;aa, give, pilot, plan, option, food, answer, schedule, offer, small;Kudos agent at Mia d24 for keeping his cool while getting screamed at by some ass who doesn’t get why 4 carryons aren’t ok.;Weve got the best in the biz and theyre great at handling any curve ball thrown their way. Thanks for the shout-out! #AATeam
150;150;6.0;0.0789;early, fly, baggage, land, tomorrow, min, rude, close, show, maintenance;Thanks agents in Albany and gate F26 in Philly for getting me home early yesterday. #timeisagift #neighborhoodtrickortreatfun;Way to rock it #AATeam! Were so happy to hear they could help with this sweet treat!
151;151;11.0;0.075;flight, great, staff, terrible, destination, entire, completely, locator, question, list;My FA was AMAZING but I didn’t catch his name. 😞 If I DM my record locator, can you pass along a good word to his boss?;Were very happy to hear how #AAmazing our FA on board was. Weve your info and well be sure to pass your kudos along. #AATeam
152;152;3.0;0.0906;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;Morning reflection. #admiralsclub #Airport #lefthand #tooearly https://t.co/ZpnSRK5345 https://t.co/MjOosj8V8M;Early morning bird! Thanks for visiting the Club, have an excellent flight.
153;153;14.0;0.0681;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;"#wheelsup what a beautiful morning in the Queen City. ROA&gt;BDL 3rd week in a row! #execplat https://t.co/NGTdcSeCY5";Thats sure an awesome sight to see, Ben. We cant think of a better way to start off the day!
154;154;17.0;0.0852;time, bad, service, experience, response, home, understand, month, guy, reason;I can understand delays for various reasons but a 6:25am departure where your #captain didnt get a wake up call? #MakeItRight;Our apologies for the late start. Well get our crew complete and get you going soon.
155;155;15.0;0.0763;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;Apologies? #DoSomething about it. Hundred plus #passengers here and your captain is not due to #sleep?? #CustomerService #travel #trip #help;Our airport team is working on this. Thanks for your continued patience.
156;156;18.0;0.0819;issue, holiday, family, happen, fix, due, card, end, contact, first_class;Hopefully to figure out a compensation plan for the passengers. Many of us missing connections and important meetings now due to this.;Well be in the air soon and our team will do all they can to make up the time in the skies.
157;157;14.0;0.075;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;NOW we are apparently going back to the gate bc of a #mechanical issue. #Unacceptable. Please DM me with a real #resolution. #travel;If theyre going to let you off the plane, we can move you to flight 19 departing at 9:05a instead. Please let us know if that will work.
